tissue,annotation_original,subannotation_original,annotation_cleaned,subannotation_cleaned,n_cells
Lung,Unknown Immune I,.,immune,.,31
Mammary,basal cells,.,basal,.,37
Mammary,basal cells,1,basal,.,318
Mammary,basal cells,2,basal,.,233
Mammary,basal cells,Chac1+Mthfd2+,basal,chac1+mthfd2+,390
Mammary,basal cells,Cxcl2+Vcam+Procr+,basal,cxcl2+vcam+procr+,57
Mammary,basal cells,Fos+,basal,fos+,111
Mammary,basal cells,Id1+Id2+Pdfgrl+Wnt10a,basal,id1+id2+pdfgrl+wnt10a,52
Mammary,basal cells,Ifgbp2+Igfbp4,basal,ifgbp2+igfbp,77
Mammary,endothelial cells,.,endothelial,.,49
Mammary,hormone responsive luminal cells,.,luminal,hormone_responsive,156
Mammary,luminal progenitors,.,luminal,progenitors,396
Mammary,stromal cells,.,stromal,.,428
Marrow,Immature-B,.,b_cells,immature,285
Marrow,Immature_Mature-B,B0,b_cells,immature_mature,207
Marrow,Immature_Mature-B,B1,b_cells,immature_mature,143
Marrow,Immature_Mature-B,B2,b_cells,immature_mature,132
Marrow,Immature_Mature-B,B3,b_cells,immature_mature,121
Marrow,Immature_Mature-B,B4,b_cells,immature_mature,93
Marrow,Immature_Mature-B,B5,b_cells,immature_mature,82
Marrow,Immature_Mature-B,B6,b_cells,immature_mature,60
Marrow,Immature_Mature-B,B7,b_cells,immature_mature,25
Marrow,Mature-B,.,b_cells,mature,700
Marrow,Monocytes_Monocyte-Progenitors,MonoProgenitor1,monocytes,progenitor,76
Marrow,Monocytes_Monocyte-Progenitors,MonoProgenitor4,monocytes,progenitor,43
Marrow,Monocytes_Monocyte-Progenitors,Monocyte0,monocytes,mature,82
Marrow,Monocytes_Monocyte-Progenitors,Monocyte2,monocytes,mature,63
Marrow,Monocytes_Monocyte-Progenitors,Monocyte3,monocytes,mature,60
Marrow,Neutrophils,.,neutrophils,quiescent,390
Marrow,PreProB,.,b_cells,prepro,177
Marrow,Proliferating-Neutrophils,.,neutrophils,proliferating,209
Marrow,Resting-Granulocytes,.,granulocytes,quiescent,380
Marrow,Stem_Progenitors,0,progenitors,.,289
Marrow,Stem_Progenitors,1,progenitors,.,181
Marrow,Stem_Progenitors,2,progenitors,.,165
Marrow,Stem_Progenitors,3,progenitors,.,155
Marrow,Stem_Progenitors,4,progenitors,.,147
Marrow,Stem_Progenitors,5,progenitors,.,128
Marrow,Stem_Progenitors,6,progenitors,.,111
Marrow,Stem_Progenitors,7,progenitors,.,58
Marrow,Stem_Progenitors,8,progenitors,.,53
Marrow,Stem_Progenitors,9,progenitors,.,4
Marrow,T_NK,NK_2,natural_killer,.,58
Marrow,T_NK,Nk_1,natural_killer,.,78
Marrow,T_NK,T,t_cells,.,80
Marrow,T_NK,Unknown1,t_cells,.,26
Marrow,T_NK,Unknown2,t_cells,.,19
Marrow,T_NK,Unknown3,t_cells,.,17
Muscle,B cells,.,b_cells,.,71
Muscle,T cells,.,t_cells,.,35
Muscle,endothelial cells,.,endothelial,.,25
Muscle,endothelial cells,Jun-negative,endothelial,.,53
Muscle,endothelial cells,Jun-positive,endothelial,.,51
Muscle,fibro-/adipogenic progenitors,.,mesenchymal_stem,.,246
Muscle,macrophages,.,macrophages,.,40
Muscle,muscle stem cells,.,muscle_stem,.,546
Pancreas,PP cells,.,pp,.,68
Pancreas,alpha cells,Alpha - female,alpha,.,159
Pancreas,alpha cells,Alpha - male,alpha,.,128
Pancreas,alpha cells,PP,pp,.,39
Pancreas,beta cells,.,beta,.,411
Pancreas,delta cells,.,delta,.,91
Pancreas,duct cells,.,ductal,.,131
Pancreas,endothelial cells,.,endothelial,.,49
Pancreas,exocrine cells,.,acinar,.,177
Pancreas,immune cells,Exocrine?,immune,.,24
Pancreas,immune cells,Immune,immune,.,21
Pancreas,stellate cells,.,stellate,.,29
Skin,Basal IFE,.,interfollicular_epidermis,basal_ife_cells,402
Skin,Cell Cycle,.,interfollicular_epidermis,proliferating,45
Skin,Inner Bulge,.,hair_follicle,inner_bulge,824
Skin,Intermediate IFE,.,interfollicular_epidermis,intermediate_ife_cells,259
Skin,Outer Bulge,.,hair_follicle,outer_bulge,547
Skin,Outer IFE,.,interfollicular_epidermis,outer_ife_cells,186
Spleen,9CD8+ T cells,.,t_cells,cd8+,81
Spleen,CD4+ T cells,.,t_cells,cd4+,273
Spleen,Macrophages/Dendritic cells/Monocytes and others,.,myeloid,.,48
Spleen,Marginal Zone B cells,.,b_cells,marginal_zone,153
Spleen,Natural Killer cells,.,t_cells,natural_killer_cells,49
Spleen,T1/T2/Follicular B cells,.,b_cells,follicular,1085
Thymus,stromal_mesenchymal stem cell,.,stromal_stem,.,33
Thymus,thymocyte_1_mix of DN4_DP_immatureSPs,DN4,t_cells,double_negative4,92
Thymus,thymocyte_1_mix of DN4_DP_immatureSPs,DP,t_cells,double_positive,44
Thymus,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8,t_cells,immature_single_positive_cd8+,62
Thymus,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4,t_cells,immature_single_positive_cd4+,280
Thymus,thymocyte_2_DP_favoring CD8 differentiation,.,t_cells,double_positive_favoring_cd8+,323
Thymus,thymocyte_3_DP_favoring CD8 differentation,.,t_cells,double_positive_favoring_cd8+,314
Thymus,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,.,t_cells,double_positive_rapidly_dividing_favoring_cd8+,103
Thymus,thymocyte_5_DN1,.,t_cells,double_negative1,32
Tongue,Basal/differentiating,.,basal,basal,831
Tongue,Filiform,.,keratinocytes,filiform_cells,35
Tongue,Maturing/nonkeratinized,.,keratinocytes,suprabasal,178
Tongue,Proliferating,.,basal,proliferating,202
Tongue,Stratified/differentiated keratinocytes,.,keratinocytes,suprabasal_cells,148
Trachea,Epcam,Krt5,epithelial,basal_cells,29
Trachea,Epcam,No Krt5,epithelial,no_krt5,44
Trachea,Pdgfrb,.,stromal,.,569
Trachea,Pecam1,.,endothelial,.,33
Trachea,Ptprc,.,immune,.,116
Trachea,Scgb1a1,.,epithelial,secretory_cells,55
