cell_ontology_id,Class,Term IRI
CL:0000045,obsolete thymus processed stem cell,http://purl.obolibrary.org/obo/CL_0000045
CL:0000046,obsolete bursa processed stem cell,http://purl.obolibrary.org/obo/CL_0000046
CL:0000047,neuronal stem cell,http://purl.obolibrary.org/obo/CL_0000047
CL:0000048,multi fate stem cell,http://purl.obolibrary.org/obo/CL_0000048
CL:0000049,common myeloid progenitor,http://purl.obolibrary.org/obo/CL_0000049
CL:0000050,megakaryocyte-erythroid progenitor cell,http://purl.obolibrary.org/obo/CL_0000050
CL:0000051,common lymphoid progenitor,http://purl.obolibrary.org/obo/CL_0000051
CL:0000052,totipotent stem cell,http://purl.obolibrary.org/obo/CL_0000052
CL:0000054,bone matrix secreting cell,http://purl.obolibrary.org/obo/CL_0000054
CL:0000055,non-terminally differentiated cell,http://purl.obolibrary.org/obo/CL_0000055
CL:0000056,myoblast,http://purl.obolibrary.org/obo/CL_0000056
CL:0000057,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000058,chondroblast,http://purl.obolibrary.org/obo/CL_0000058
CL:0000059,ameloblast,http://purl.obolibrary.org/obo/CL_0000059
CL:0000060,odontoblast,http://purl.obolibrary.org/obo/CL_0000060
CL:0000061,cementoblast,http://purl.obolibrary.org/obo/CL_0000061
CL:0000062,osteoblast,http://purl.obolibrary.org/obo/CL_0000062
CL:0000063,obsolete cell by histology,http://purl.obolibrary.org/obo/CL_0000063
CL:0000064,ciliated cell,http://purl.obolibrary.org/obo/CL_0000064
CL:0000065,ependymal cell,http://purl.obolibrary.org/obo/CL_0000065
CL:0000066,epithelial cell,http://purl.obolibrary.org/obo/CL_0000066
CL:0000067,ciliated epithelial cell,http://purl.obolibrary.org/obo/CL_0000067
CL:0000068,duct epithelial cell,http://purl.obolibrary.org/obo/CL_0000068
CL:0000069,branched duct epithelial cell,http://purl.obolibrary.org/obo/CL_0000069
CL:0000070,obsolete epithelial cell of gland,http://purl.obolibrary.org/obo/CL_0000070
CL:0000071,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000072,non-branched duct epithelial cell,http://purl.obolibrary.org/obo/CL_0000072
CL:0000073,barrier epithelial cell,http://purl.obolibrary.org/obo/CL_0000073
CL:0000074,obsolete epithem cell,http://purl.obolibrary.org/obo/CL_0000074
CL:0000075,columnar/cuboidal epithelial cell,http://purl.obolibrary.org/obo/CL_0000075
CL:0000076,squamous epithelial cell,http://purl.obolibrary.org/obo/CL_0000076
CL:0000077,mesothelial cell,http://purl.obolibrary.org/obo/CL_0000077
CL:0000078,peridermal cell,http://purl.obolibrary.org/obo/CL_0000078
CL:0000079,stratified epithelial cell,http://purl.obolibrary.org/obo/CL_0000079
CL:0000080,circulating cell,http://purl.obolibrary.org/obo/CL_0000080
CL:0000081,blood cell,http://purl.obolibrary.org/obo/CL_0000081
CL:0000082,epithelial cell of lung,http://purl.obolibrary.org/obo/CL_0000082
CL:0000083,epithelial cell of pancreas,http://purl.obolibrary.org/obo/CL_0000083
CL:0000084,T cell,http://purl.obolibrary.org/obo/CL_0000084
CL:0000085,germ line stem cell (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000085
CL:0000086,germ line stem cell (sensu Nematoda and Protostomia),http://purl.obolibrary.org/obo/CL_0000086
CL:0000087,male germ line stem cell (sensu Nematoda and Protostomia),http://purl.obolibrary.org/obo/CL_0000087
CL:0000088,female germ line stem cell (sensu Nematoda and Protostomia),http://purl.obolibrary.org/obo/CL_0000088
CL:0000089,male germ line stem cell (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000089
CL:0000090,female germ line stem cell (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000090
CL:0000091,Kupffer cell,http://purl.obolibrary.org/obo/CL_0000091
CL:0000092,osteoclast,http://purl.obolibrary.org/obo/CL_0000092
CL:0000093,obsolete osteochondroclast,http://purl.obolibrary.org/obo/CL_0000093
CL:0000094,granulocyte,http://purl.obolibrary.org/obo/CL_0000094
CL:0000095,neuron associated cell,http://purl.obolibrary.org/obo/CL_0000095
CL:0000096,mature neutrophil,http://purl.obolibrary.org/obo/CL_0000096
CL:0000097,mast cell,http://purl.obolibrary.org/obo/CL_0000097
CL:0000098,sensory epithelial cell,http://purl.obolibrary.org/obo/CL_0000098
CL:0000099,interneuron,http://purl.obolibrary.org/obo/CL_0000099
CL:0000100,motor neuron,http://purl.obolibrary.org/obo/CL_0000100
CL:0000101,sensory neuron,http://purl.obolibrary.org/obo/CL_0000101
CL:0000102,polymodal neuron,http://purl.obolibrary.org/obo/CL_0000102
CL:0000103,bipolar neuron,http://purl.obolibrary.org/obo/CL_0000103
CL:0000104,multipolar neuron,http://purl.obolibrary.org/obo/CL_0000104
CL:0000105,pseudounipolar neuron,http://purl.obolibrary.org/obo/CL_0000105
CL:0000106,unipolar neuron,http://purl.obolibrary.org/obo/CL_0000106
CL:0000107,autonomic neuron,http://purl.obolibrary.org/obo/CL_0000107
CL:0000108,cholinergic neuron,http://purl.obolibrary.org/obo/CL_0000108
CL:0000109,adrenergic neuron,http://purl.obolibrary.org/obo/CL_0000109
CL:0000110,peptidergic neuron,http://purl.obolibrary.org/obo/CL_0000110
CL:0000111,peripheral neuron,http://purl.obolibrary.org/obo/CL_0000111
CL:0000112,columnar neuron,http://purl.obolibrary.org/obo/CL_0000112
CL:0000113,mononuclear phagocyte,http://purl.obolibrary.org/obo/CL_0000113
CL:0000114,surface ectodermal cell,http://purl.obolibrary.org/obo/CL_0000114
CL:0000115,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115
CL:0000116,pioneer neuron,http://purl.obolibrary.org/obo/CL_0000116
CL:0000117,CNS neuron (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000117
CL:0000118,basket cell,http://purl.obolibrary.org/obo/CL_0000118
CL:0000119,cerebellar Golgi cell,http://purl.obolibrary.org/obo/CL_0000119
CL:0000120,granule cell,http://purl.obolibrary.org/obo/CL_0000120
CL:0000121,Purkinje cell,http://purl.obolibrary.org/obo/CL_0000121
CL:0000122,stellate neuron,http://purl.obolibrary.org/obo/CL_0000122
CL:0000123,neuron associated cell (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000123
CL:0000124,glial cell (sensu Nematoda and Protostomia),http://purl.obolibrary.org/obo/CL_0000124
CL:0000125,glial cell,http://purl.obolibrary.org/obo/CL_0000125
CL:0000126,macroglial cell,http://purl.obolibrary.org/obo/CL_0000126
CL:0000127,astrocyte,http://purl.obolibrary.org/obo/CL_0000127
CL:0000128,oligodendrocyte,http://purl.obolibrary.org/obo/CL_0000128
CL:0000129,microglial cell,http://purl.obolibrary.org/obo/CL_0000129
CL:0000130,neuron associated cell (sensu Nematoda and Protostomia),http://purl.obolibrary.org/obo/CL_0000130
CL:0000131,gut endothelial cell,http://purl.obolibrary.org/obo/CL_0000131
CL:0000132,corneal endothelial cell,http://purl.obolibrary.org/obo/CL_0000132
CL:0000133,neurectodermal cell,http://purl.obolibrary.org/obo/CL_0000133
CL:0000134,mesenchymal stem cell,http://purl.obolibrary.org/obo/CL_0000134
CL:0000135,fibrocyte,http://purl.obolibrary.org/obo/CL_0000135
CL:0000136,fat cell,http://purl.obolibrary.org/obo/CL_0000136
CL:0000137,osteocyte,http://purl.obolibrary.org/obo/CL_0000137
CL:0000138,chondrocyte,http://purl.obolibrary.org/obo/CL_0000138
CL:0000140,odontocyte,http://purl.obolibrary.org/obo/CL_0000140
CL:0000141,cementocyte,http://purl.obolibrary.org/obo/CL_0000141
CL:0000142,hyalocyte,http://purl.obolibrary.org/obo/CL_0000142
CL:0000143,guidepost cell,http://purl.obolibrary.org/obo/CL_0000143
CL:0000144,obsolete cell by function,http://purl.obolibrary.org/obo/CL_0000144
CL:0000145,professional antigen presenting cell,http://purl.obolibrary.org/obo/CL_0000145
CL:0000146,simple columnar epithelial cell,http://purl.obolibrary.org/obo/CL_0000146
CL:0000147,pigment cell,http://purl.obolibrary.org/obo/CL_0000147
CL:0000148,melanocyte,http://purl.obolibrary.org/obo/CL_0000148
CL:0000149,visual pigment cell,http://purl.obolibrary.org/obo/CL_0000149
CL:0000150,glandular epithelial cell,http://purl.obolibrary.org/obo/CL_0000150
CL:0000151,secretory cell,http://purl.obolibrary.org/obo/CL_0000151
CL:0000152,exocrine cell,http://purl.obolibrary.org/obo/CL_0000152
CL:0000153,glycosaminoglycan secreting cell,http://purl.obolibrary.org/obo/CL_0000153
CL:0000154,protein secreting cell,http://purl.obolibrary.org/obo/CL_0000154
CL:0000155,peptic cell,http://purl.obolibrary.org/obo/CL_0000155
CL:0000156,obsolete antibody secreting cell,http://purl.obolibrary.org/obo/CL_0000156
CL:0000157,surfactant secreting cell,http://purl.obolibrary.org/obo/CL_0000157
CL:0000158,Clara cell,http://purl.obolibrary.org/obo/CL_0000158
CL:0000159,seromucus secreting cell,http://purl.obolibrary.org/obo/CL_0000159
CL:0000160,goblet cell,http://purl.obolibrary.org/obo/CL_0000160
CL:0000161,acid secreting cell,http://purl.obolibrary.org/obo/CL_0000161
CL:0000162,parietal cell,http://purl.obolibrary.org/obo/CL_0000162
CL:0000163,endocrine cell,http://purl.obolibrary.org/obo/CL_0000163
CL:0000164,enteroendocrine cell,http://purl.obolibrary.org/obo/CL_0000164
CL:0000165,neuroendocrine cell,http://purl.obolibrary.org/obo/CL_0000165
CL:0000166,chromaffin cell,http://purl.obolibrary.org/obo/CL_0000166
CL:0000167,peptide hormone secreting cell,http://purl.obolibrary.org/obo/CL_0000167
CL:0000168,insulin secreting cell,http://purl.obolibrary.org/obo/CL_0000168
CL:0000169,type B pancreatic cell,http://purl.obolibrary.org/obo/CL_0000169
CL:0000170,glucagon secreting cell,http://purl.obolibrary.org/obo/CL_0000170
CL:0000171,pancreatic A cell,http://purl.obolibrary.org/obo/CL_0000171
CL:0000172,somatostatin secreting cell,http://purl.obolibrary.org/obo/CL_0000172
CL:0000173,pancreatic D cell,http://purl.obolibrary.org/obo/CL_0000173
CL:0000174,steroid hormone secreting cell,http://purl.obolibrary.org/obo/CL_0000174
CL:0000175,luteal cell,http://purl.obolibrary.org/obo/CL_0000175
CL:0000176,ecdysteroid secreting cell,http://purl.obolibrary.org/obo/CL_0000176
CL:0000177,testosterone secreting cell,http://purl.obolibrary.org/obo/CL_0000177
CL:0000178,Leydig cell,http://purl.obolibrary.org/obo/CL_0000178
CL:0000179,progesterone secreting cell,http://purl.obolibrary.org/obo/CL_0000179
CL:0000180,estradiol secreting cell,http://purl.obolibrary.org/obo/CL_0000180
CL:0000181,metabolising cell,http://purl.obolibrary.org/obo/CL_0000181
CL:0000182,hepatocyte,http://purl.obolibrary.org/obo/CL_0000182
CL:0000183,contractile cell,http://purl.obolibrary.org/obo/CL_0000183
CL:0000185,myoepithelial cell,http://purl.obolibrary.org/obo/CL_0000185
CL:0000186,myofibroblast cell,http://purl.obolibrary.org/obo/CL_0000186
CL:0000187,muscle cell,http://purl.obolibrary.org/obo/CL_0000187
CL:0000188,cell of skeletal muscle,http://purl.obolibrary.org/obo/CL_0000188
CL:0000189,slow muscle cell,http://purl.obolibrary.org/obo/CL_0000189
CL:0000190,fast muscle cell,http://purl.obolibrary.org/obo/CL_0000190
CL:0000192,smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000192
CL:0000193,cardiac muscle cell (sensu Arthopoda),http://purl.obolibrary.org/obo/CL_0000193
CL:0000194,obsolete nodal cardiac cell,http://purl.obolibrary.org/obo/CL_0000194
CL:0000195,obsolete Purkinje fiber,http://purl.obolibrary.org/obo/CL_0000195
CL:0000196,flight muscle cell,http://purl.obolibrary.org/obo/CL_0000196
CL:0000197,receptor cell,http://purl.obolibrary.org/obo/CL_0000197
CL:0000198,pain receptor cell,http://purl.obolibrary.org/obo/CL_0000198
CL:0000199,mechanoreceptor cell,http://purl.obolibrary.org/obo/CL_0000199
CL:0000200,touch receptor cell,http://purl.obolibrary.org/obo/CL_0000200
CL:0000202,auditory hair cell,http://purl.obolibrary.org/obo/CL_0000202
CL:0000203,gravity sensitive cell,http://purl.obolibrary.org/obo/CL_0000203
CL:0000204,acceleration receptive cell,http://purl.obolibrary.org/obo/CL_0000204
CL:0000205,thermoreceptor cell,http://purl.obolibrary.org/obo/CL_0000205
CL:0000206,chemoreceptor cell,http://purl.obolibrary.org/obo/CL_0000206
CL:0000207,olfactory receptor cell,http://purl.obolibrary.org/obo/CL_0000207
CL:0000208,pH receptor cell,http://purl.obolibrary.org/obo/CL_0000208
CL:0000209,taste receptor cell,http://purl.obolibrary.org/obo/CL_0000209
CL:0000210,photoreceptor cell,http://purl.obolibrary.org/obo/CL_0000210
CL:0000211,electrically active cell,http://purl.obolibrary.org/obo/CL_0000211
CL:0000212,absorptive cell,http://purl.obolibrary.org/obo/CL_0000212
CL:0000213,lining cell,http://purl.obolibrary.org/obo/CL_0000213
CL:0000214,synovial cell,http://purl.obolibrary.org/obo/CL_0000214
CL:0000215,barrier cell,http://purl.obolibrary.org/obo/CL_0000215
CL:0000216,Sertoli cell,http://purl.obolibrary.org/obo/CL_0000216
CL:0000217,insulating cell,http://purl.obolibrary.org/obo/CL_0000217
CL:0000218,myelinating Schwann cell,http://purl.obolibrary.org/obo/CL_0000218
CL:0000219,motile cell,http://purl.obolibrary.org/obo/CL_0000219
CL:0000220,obsolete cell by lineage,http://purl.obolibrary.org/obo/CL_0000220
CL:0000221,ectodermal cell,http://purl.obolibrary.org/obo/CL_0000221
CL:0000222,mesodermal cell,http://purl.obolibrary.org/obo/CL_0000222
CL:0000223,endodermal cell,http://purl.obolibrary.org/obo/CL_0000223
CL:0000224,obsolete cell by nuclear number,http://purl.obolibrary.org/obo/CL_0000224
CL:0000225,anucleate cell,http://purl.obolibrary.org/obo/CL_0000225
CL:0000226,single nucleate cell,http://purl.obolibrary.org/obo/CL_0000226
CL:0000227,binucleate cell,http://purl.obolibrary.org/obo/CL_0000227
CL:0000228,multinucleate cell,http://purl.obolibrary.org/obo/CL_0000228
CL:0000229,obsolete lymphoblast,http://purl.obolibrary.org/obo/CL_0000229
CL:0000230,obsolete T lymphoblast,http://purl.obolibrary.org/obo/CL_0000230
CL:0000231,obsolete B lymphoblast,http://purl.obolibrary.org/obo/CL_0000231
CL:0000232,erythrocyte,http://purl.obolibrary.org/obo/CL_0000232
CL:0000233,platelet,http://purl.obolibrary.org/obo/CL_0000233
CL:0000234,phagocyte,http://purl.obolibrary.org/obo/CL_0000234
CL:0000235,macrophage,http://purl.obolibrary.org/obo/CL_0000235
CL:0000236,B cell,http://purl.obolibrary.org/obo/CL_0000236
CL:0000237,keratinizing barrier epithelial cell,http://purl.obolibrary.org/obo/CL_0000237
CL:0000238,non keratinizing barrier epithelial cell,http://purl.obolibrary.org/obo/CL_0000238
CL:0000239,brush border epithelial cell,http://purl.obolibrary.org/obo/CL_0000239
CL:0000240,stratified squamous epithelial cell,http://purl.obolibrary.org/obo/CL_0000240
CL:0000241,stratified cuboidal epithelial cell,http://purl.obolibrary.org/obo/CL_0000241
CL:0000242,Merkel cell,http://purl.obolibrary.org/obo/CL_0000242
CL:0000243,glial cell (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000243
CL:0000244,transitional epithelial cell,http://purl.obolibrary.org/obo/CL_0000244
CL:0000245,obsolete passage cell,http://purl.obolibrary.org/obo/CL_0000245
CL:0000246,Mauthner neuron,http://purl.obolibrary.org/obo/CL_0000246
CL:0000247,Rohon-Beard neuron,http://purl.obolibrary.org/obo/CL_0000247
CL:0000248,obsolete microsporocyte,http://purl.obolibrary.org/obo/CL_0000248
CL:0000249,hatching gland cell,http://purl.obolibrary.org/obo/CL_0000249
CL:0000250,obsolete megaspore,http://purl.obolibrary.org/obo/CL_0000250
CL:0000251,extramedullary cell,http://purl.obolibrary.org/obo/CL_0000251
CL:0000252,obsolete microspore,http://purl.obolibrary.org/obo/CL_0000252
CL:0000253,eurydendroid cell,http://purl.obolibrary.org/obo/CL_0000253
CL:0000254,obsolete egg cell,http://purl.obolibrary.org/obo/CL_0000254
CL:0000255,eukaryotic cell,http://purl.obolibrary.org/obo/CL_0000255
CL:0000256,uric acid accumulating cell,http://purl.obolibrary.org/obo/CL_0000256
CL:0000257,Mycetozoan cell,http://purl.obolibrary.org/obo/CL_0000257
CL:0000258,obsolete fiber tracheid,http://purl.obolibrary.org/obo/CL_0000258
CL:0000259,aggregate cell,http://purl.obolibrary.org/obo/CL_0000259
CL:0000260,obsolete mucilage cell,http://purl.obolibrary.org/obo/CL_0000260
CL:0000261,anterior cell,http://purl.obolibrary.org/obo/CL_0000261
CL:0000262,obsolete guard mother cell,http://purl.obolibrary.org/obo/CL_0000262
CL:0000263,vegetative cell (sensu Mycetozoa),http://purl.obolibrary.org/obo/CL_0000263
CL:0000264,obsolete phloem initial,http://purl.obolibrary.org/obo/CL_0000264
CL:0000265,anterior like cell,http://purl.obolibrary.org/obo/CL_0000265
CL:0000266,obsolete meristemoid,http://purl.obolibrary.org/obo/CL_0000266
CL:0000267,prespore cell,http://purl.obolibrary.org/obo/CL_0000267
CL:0000268,obsolete sieve element,http://purl.obolibrary.org/obo/CL_0000268
CL:0000269,prestalk cell,http://purl.obolibrary.org/obo/CL_0000269
CL:0000270,obsolete subsidiary cell,http://purl.obolibrary.org/obo/CL_0000270
CL:0000271,prestalk A cell,http://purl.obolibrary.org/obo/CL_0000271
CL:0000272,obsolete cambial initial,http://purl.obolibrary.org/obo/CL_0000272
CL:0000273,prestalk AB cell,http://purl.obolibrary.org/obo/CL_0000273
CL:0000275,prestalk B cell,http://purl.obolibrary.org/obo/CL_0000275
CL:0000276,obsolete sclerenchyma cell,http://purl.obolibrary.org/obo/CL_0000276
CL:0000277,obsolete prestalk I cell,http://purl.obolibrary.org/obo/CL_0000277
CL:0000278,obsolete central cell,http://purl.obolibrary.org/obo/CL_0000278
CL:0000279,prestalk 0 cell,http://purl.obolibrary.org/obo/CL_0000279
CL:0000280,obsolete generative cell,http://purl.obolibrary.org/obo/CL_0000280
CL:0000281,pstAB/ALC,http://purl.obolibrary.org/obo/CL_0000281
CL:0000282,obsolete trichome,http://purl.obolibrary.org/obo/CL_0000282
CL:0000283,pstO/ALC,http://purl.obolibrary.org/obo/CL_0000283
CL:0000284,obsolete companion cell,http://purl.obolibrary.org/obo/CL_0000284
CL:0000285,stalk cell,http://purl.obolibrary.org/obo/CL_0000285
CL:0000286,hyphal cell,http://purl.obolibrary.org/obo/CL_0000286
CL:0000287,eye photoreceptor cell,http://purl.obolibrary.org/obo/CL_0000287
CL:0000288,obsolete synergid,http://purl.obolibrary.org/obo/CL_0000288
CL:0000289,chemotactic amoeboid cell (sensu Mycetozoa),http://purl.obolibrary.org/obo/CL_0000289
CL:0000290,obsolete xylem fiber cell,http://purl.obolibrary.org/obo/CL_0000290
CL:0000291,spore (sensu Mycetozoa),http://purl.obolibrary.org/obo/CL_0000291
CL:0000292,obsolete guard cell,http://purl.obolibrary.org/obo/CL_0000292
CL:0000293,structural cell,http://purl.obolibrary.org/obo/CL_0000293
CL:0000294,obsolete sieve cell,http://purl.obolibrary.org/obo/CL_0000294
CL:0000295,somatotropin secreting cell,http://purl.obolibrary.org/obo/CL_0000295
CL:0000296,obsolete vegetative cell,http://purl.obolibrary.org/obo/CL_0000296
CL:0000297,obsolete socket cell,http://purl.obolibrary.org/obo/CL_0000297
CL:0000298,obsolete xylem element,http://purl.obolibrary.org/obo/CL_0000298
CL:0000299,obsolete trichoblast,http://purl.obolibrary.org/obo/CL_0000299
CL:0000300,gamete,http://purl.obolibrary.org/obo/CL_0000300
CL:0000301,pole cell,http://purl.obolibrary.org/obo/CL_0000301
CL:0000302,obsolete IgM B cell,http://purl.obolibrary.org/obo/CL_0000302
CL:0000303,obsolete IgG B cell,http://purl.obolibrary.org/obo/CL_0000303
CL:0000304,obsolete IgA B cell,http://purl.obolibrary.org/obo/CL_0000304
CL:0000305,obsolete IgE B cell,http://purl.obolibrary.org/obo/CL_0000305
CL:0000306,crystallin accumulating cell,http://purl.obolibrary.org/obo/CL_0000306
CL:0000307,tracheal epithelial cell,http://purl.obolibrary.org/obo/CL_0000307
CL:0000308,metal ion accumulating cell,http://purl.obolibrary.org/obo/CL_0000308
CL:0000309,copper accumulating cell,http://purl.obolibrary.org/obo/CL_0000309
CL:0000310,iron accumulating cell,http://purl.obolibrary.org/obo/CL_0000310
CL:0000311,keratin accumulating cell,http://purl.obolibrary.org/obo/CL_0000311
CL:0000312,keratinocyte,http://purl.obolibrary.org/obo/CL_0000312
CL:0000313,serous secreting cell,http://purl.obolibrary.org/obo/CL_0000313
CL:0000314,milk secreting cell,http://purl.obolibrary.org/obo/CL_0000314
CL:0000315,tears secreting cell,http://purl.obolibrary.org/obo/CL_0000315
CL:0000316,obsolete ray initial,http://purl.obolibrary.org/obo/CL_0000316
CL:0000317,sebum secreting cell,http://purl.obolibrary.org/obo/CL_0000317
CL:0000318,sweat secreting cell,http://purl.obolibrary.org/obo/CL_0000318
CL:0000319,mucus secreting cell,http://purl.obolibrary.org/obo/CL_0000319
CL:0000320,obsolete megasporocyte,http://purl.obolibrary.org/obo/CL_0000320
CL:0000321,seminal fluid secreting cell,http://purl.obolibrary.org/obo/CL_0000321
CL:0000322,pneumocyte,http://purl.obolibrary.org/obo/CL_0000322
CL:0000323,lysozyme secreting cell,http://purl.obolibrary.org/obo/CL_0000323
CL:0000324,metanephric mesenchyme stem cell,http://purl.obolibrary.org/obo/CL_0000324
CL:0000325,stuff accumulating cell,http://purl.obolibrary.org/obo/CL_0000325
CL:0000326,glycogen accumulating cell,http://purl.obolibrary.org/obo/CL_0000326
CL:0000327,extracellular matrix secreting cell,http://purl.obolibrary.org/obo/CL_0000327
CL:0000328,myelin accumulating cell,http://purl.obolibrary.org/obo/CL_0000328
CL:0000329,oxygen accumulating cell,http://purl.obolibrary.org/obo/CL_0000329
CL:0000330,obsolete collenchymal cell,http://purl.obolibrary.org/obo/CL_0000330
CL:0000331,obsolete tracheid,http://purl.obolibrary.org/obo/CL_0000331
CL:0000332,obsolete atrichoblast,http://purl.obolibrary.org/obo/CL_0000332
CL:0000333,migratory neural crest cell,http://purl.obolibrary.org/obo/CL_0000333
CL:0000334,vegetative cell (sensu Fungi),http://purl.obolibrary.org/obo/CL_0000334
CL:0000335,mesenchyme condensation cell,http://purl.obolibrary.org/obo/CL_0000335
CL:0000336,adrenal medulla chromaffin cell,http://purl.obolibrary.org/obo/CL_0000336
CL:0000337,neuroblast (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000337
CL:0000338,neuroblast (sensu Nematoda and Protostomia),http://purl.obolibrary.org/obo/CL_0000338
CL:0000339,glioblast (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000339
CL:0000340,glioblast (sensu Nematoda and Protostomia),http://purl.obolibrary.org/obo/CL_0000340
CL:0000341,pigment cell (sensu Nematoda and Protostomia),http://purl.obolibrary.org/obo/CL_0000341
CL:0000342,pigment cell (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000342
CL:0000343,visual pigment cell (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000343
CL:0000344,obsolete non-visual cell (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000344
CL:0000345,dental papilla cell,http://purl.obolibrary.org/obo/CL_0000345
CL:0000346,hair follicle dermal papilla cell,http://purl.obolibrary.org/obo/CL_0000346
CL:0000347,scleral cell,http://purl.obolibrary.org/obo/CL_0000347
CL:0000348,choroidal cell of the eye,http://purl.obolibrary.org/obo/CL_0000348
CL:0000349,extraembryonic cell,http://purl.obolibrary.org/obo/CL_0000349
CL:0000350,amnioserosal cell,http://purl.obolibrary.org/obo/CL_0000350
CL:0000351,trophoblast cell,http://purl.obolibrary.org/obo/CL_0000351
CL:0000352,epiblast cell,http://purl.obolibrary.org/obo/CL_0000352
CL:0000353,blastoderm cell,http://purl.obolibrary.org/obo/CL_0000353
CL:0000354,blastemal cell,http://purl.obolibrary.org/obo/CL_0000354
CL:0000355,multi-potent skeletal muscle stem cell,http://purl.obolibrary.org/obo/CL_0000355
CL:0000356,hair matrix stem cell,http://purl.obolibrary.org/obo/CL_0000356
CL:0000357,stratified epithelial stem cell,http://purl.obolibrary.org/obo/CL_0000357
CL:0000358,sphincter associated smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000358
